town,county,acs_year,acs_population,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,mvp_priority_lane,key_drivers,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,hazard_overlay_status
Portland,Cumberland,2024,68854,73.04,67.34,43.12,84.36,35.78,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; zero-car households; children/family demand,41.49,51.32,11.21,15.4,16.87,12.66,15.36,5.16,6.59,0.09,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Lewiston,Androscoggin,2024,38324,66.36,70.39,57.61,62.55,42.33,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; poverty; zero-car households,40.71,51.68,20.04,17.21,18.35,19.51,20.58,0.58,11.19,0.18,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bangor,Penobscot,2024,31938,63.32,66.36,55.07,61.89,38.19,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; poverty; disability,39.56,51.52,17.87,14.79,19.89,20.68,16.65,0.21,7.1,0.17,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Waterville,Kennebec,2024,17077,60.04,68.0,57.31,56.03,38.7,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; poverty; housing cost burden; zero-car households,38.81,50.5,20.61,17.18,18.33,18.64,14.37,0.26,5.78,0.37,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Orono,Penobscot,2024,11902,58.4,72.05,49.86,54.28,36.32,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; poverty; housing cost burden; disability,46.29,58.06,24.88,7.16,11.43,11.42,6.84,1.43,3.56,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Augusta,Kennebec,2024,19077,58.19,65.03,55.44,54.05,39.54,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; housing cost burden; poverty; disability,38.81,49.18,18.22,13.58,21.51,20.98,18.93,1.51,9.1,0.38,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Auburn,Androscoggin,2024,24602,57.53,63.01,48.69,54.63,38.88,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; housing cost burden; children/family demand; disability,42.58,53.4,13.8,10.47,19.83,20.19,21.36,0.99,13.3,0.16,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
South Portland,Cumberland,2024,26930,56.66,56.97,36.6,65.01,28.21,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; children/family demand; older adults,43.29,55.63,6.94,7.82,20.72,13.24,14.67,0.81,3.52,0.25,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Old Town,Penobscot,2024,7470,55.97,67.21,52.23,52.72,36.49,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; poverty; housing cost burden; children/family demand,41.56,50.31,21.33,10.06,16.85,16.36,21.82,1.44,4.71,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Eustis,Franklin,2024,453,55.53,88.35,71.86,44.57,55.08,equity and recovery-capacity priority,housing cost burden; renter cost burden; seasonal housing pressure; poverty,51.25,66.02,22.96,12.37,38.63,26.71,15.45,61.53,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Machias,Washington,2024,2020,55.47,71.18,60.05,43.84,42.61,equity and recovery-capacity priority,renter cost burden; poverty; housing cost burden; disability,43.85,58.92,25.6,11.0,20.2,19.33,15.89,0.71,9.98,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Van Buren,Aroostook,2024,1858,55.01,65.26,72.49,43.36,45.38,equity and recovery-capacity priority,disability; poverty; renter cost burden; housing cost burden,39.64,40.68,23.04,13.33,35.25,32.37,15.61,2.89,9.26,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Grand Isle,Aroostook,2024,407,54.43,67.81,64.34,45.23,40.01,equity and recovery-capacity priority,renter cost burden; housing cost burden; poverty; disability,42.57,75.47,20.88,9.42,33.42,26.54,10.57,3.92,2.4,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Hamlin,Aroostook,2024,111,54.39,70.5,64.0,48.96,44.64,equity and recovery-capacity priority,housing cost burden; renter cost burden; disability; older adults,52.63,100.0,17.12,3.77,40.54,29.73,7.21,11.76,4.0,1.89,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Dexter,Penobscot,2024,3822,54.07,66.71,63.13,43.46,44.74,equity and recovery-capacity priority,renter cost burden; poverty; disability; housing cost burden,35.71,65.2,23.08,12.58,19.73,28.92,16.22,3.35,12.38,0.39,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Madawaska,Aroostook,2024,3853,53.57,70.86,59.4,48.05,41.93,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; zero-car households; disability,43.77,59.96,13.0,19.15,28.78,23.26,20.14,13.91,0.0,2.29,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Rumford,Oxford,2024,5942,53.45,70.36,61.42,40.51,47.68,equity and recovery-capacity priority,renter cost burden; poverty; housing cost burden; disability,38.03,59.1,22.61,13.64,27.18,20.1,18.06,7.92,14.67,0.3,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Caribou,Aroostook,2024,7382,52.94,59.47,52.76,50.77,34.89,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; poverty; disability,38.58,45.29,15.5,11.86,27.31,18.67,16.19,1.17,4.31,1.02,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Brunswick,Cumberland,2024,22336,52.85,54.89,37.09,57.28,31.91,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; older adults,39.32,56.38,7.7,6.84,22.95,13.74,17.24,1.73,10.74,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Presque Isle,Aroostook,2024,8736,52.69,58.52,50.07,51.29,32.94,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; poverty; disability,37.44,47.26,15.47,9.88,22.56,19.79,18.04,0.43,3.19,0.96,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Biddeford,York,2024,22498,52.64,56.07,42.5,55.86,35.02,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; poverty; children/family demand,34.82,37.21,15.48,8.02,17.14,13.94,15.65,6.81,9.85,0.09,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Rockland,Knox,2024,7035,52.49,59.93,47.11,54.49,32.12,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; older adults,41.31,57.63,10.39,11.81,25.36,18.72,15.47,3.55,1.84,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Westbrook,Cumberland,2024,20775,52.09,51.15,33.55,61.29,25.84,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; children/family demand; disability,37.02,46.06,7.97,6.0,18.06,12.09,18.51,0.52,3.74,0.31,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Belfast,Waldo,2024,6986,52.07,64.72,59.51,44.34,45.5,monitor and screen after hazard-layer ingestion,renter cost burden; older adults; housing cost burden; zero-car households,35.88,47.42,16.05,16.5,39.06,17.49,14.21,9.51,13.01,0.88,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
North Washington UT,Washington,2024,620,52.06,83.69,72.17,37.52,59.68,equity and recovery-capacity priority,renter cost burden; poverty; seasonal housing pressure; disability,46.26,100.0,25.48,2.22,37.26,32.58,25.16,60.06,4.57,7.11,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
East Millinocket,Penobscot,2024,1495,51.91,64.65,59.68,44.05,41.43,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; disability; housing cost burden,34.31,74.11,21.67,9.95,25.82,24.75,20.4,5.87,8.17,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Houlton,Aroostook,2024,6056,51.6,58.3,51.0,50.39,33.27,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; housing cost burden; disability,32.44,54.74,18.13,7.09,24.37,20.27,18.03,2.35,2.49,0.73,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Brewer,Penobscot,2024,9652,51.5,58.18,46.92,49.75,34.21,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; disability,37.57,55.7,12.5,10.73,22.41,19.13,20.93,1.43,7.74,0.09,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Skowhegan,Somerset,2024,8653,51.32,62.11,52.49,42.5,42.07,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; children/family demand,40.23,58.46,14.17,11.98,25.39,21.33,19.62,2.7,16.18,0.44,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Alton,Penobscot,2024,819,51.21,60.4,53.43,47.53,36.25,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; housing cost burden; children/family demand,29.25,76.32,24.31,6.53,21.73,16.48,18.07,1.63,4.47,2.56,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Patten,Penobscot,2024,1154,51.19,63.62,66.79,40.75,49.89,equity and recovery-capacity priority,renter cost burden; poverty; disability; older adults,30.9,56.0,23.23,6.32,38.47,30.05,11.27,8.63,18.09,0.56,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
West Paris,Oxford,2024,1808,51.14,74.95,61.55,35.99,55.93,equity and recovery-capacity priority,renter cost burden; poverty; housing cost burden; long commutes,40.0,61.47,24.09,10.98,25.22,21.08,14.27,15.91,23.19,0.45,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Saco,York,2024,20819,50.97,53.19,32.27,58.81,29.2,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; disability,37.47,50.31,6.39,5.43,18.5,12.34,16.73,4.25,7.06,1.08,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Scarborough,Cumberland,2024,23215,50.86,50.58,28.85,65.24,26.64,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; children/family demand; older adults,35.42,51.88,4.39,1.67,24.73,10.8,16.64,7.69,4.55,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sanford,York,2024,22247,50.58,52.67,42.3,49.14,38.0,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; children/family demand,35.3,45.47,10.29,5.93,20.77,21.56,19.33,2.41,19.18,0.49,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Passamaquoddy Indian Township Reservation,Washington,2024,759,50.49,50.62,67.55,47.69,36.14,equity and recovery-capacity priority,poverty; disability; children/family demand; zero-car households,18.35,25.84,38.57,21.36,15.15,34.91,33.07,1.51,2.62,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Eastport,Washington,2024,1263,50.25,67.78,64.94,42.73,48.89,equity and recovery-capacity priority,renter cost burden; older adults; disability; housing cost burden,39.01,44.93,15.24,13.42,42.36,28.17,14.17,19.44,9.87,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Guilford,Piscataquis,2024,1096,50.15,68.79,59.18,38.08,48.69,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; older adults,45.35,66.98,14.87,11.17,30.47,27.25,15.6,11.42,16.9,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Mexico,Oxford,2024,2782,50.1,64.15,56.35,38.11,45.15,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; housing cost burden; disability,34.97,62.84,19.73,13.2,20.35,22.61,19.77,4.22,18.17,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Cherryfield,Washington,2024,809,50.09,71.82,68.72,31.99,58.47,equity and recovery-capacity priority,renter cost burden; poverty; disability; long commutes,32.9,60.47,26.33,12.26,32.39,27.69,11.62,15.82,24.91,0.72,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Calais,Washington,2024,3097,49.92,62.68,56.34,42.84,41.73,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; disability; housing cost burden,31.97,53.7,21.39,5.7,24.09,25.02,16.44,8.62,8.73,1.62,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Paris,Oxford,2024,5317,49.77,67.25,50.51,43.8,45.38,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; poverty,42.81,62.31,12.45,12.23,24.56,19.97,15.82,14.06,14.18,1.18,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Allagash,Aroostook,2024,224,49.72,90.09,72.25,21.61,72.52,resilience-first housing and infrastructure planning,housing cost burden; renter cost burden; poverty; seasonal housing pressure,54.76,77.27,25.45,12.68,48.66,16.96,6.25,34.46,31.25,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Orient,Aroostook,2024,137,49.57,70.09,68.99,47.5,51.74,equity and recovery-capacity priority,renter cost burden; poverty; seasonal housing pressure; older adults,24.07,100.0,35.77,1.59,45.99,30.66,16.79,74.91,0.0,4.76,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sherman,Aroostook,2024,947,49.46,67.15,54.77,40.89,47.13,monitor and screen after hazard-layer ingestion,poverty; children/family demand; renter cost burden; housing cost burden,29.43,46.67,37.49,13.55,21.22,10.98,33.37,11.85,15.27,2.26,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Passamaquoddy Pleasant Point Reservation,Washington,2024,552,49.26,49.65,62.79,46.38,34.96,equity and recovery-capacity priority,poverty; children/family demand; zero-car households; disability,22.44,18.75,35.51,21.62,12.86,23.73,29.89,0.0,1.93,3.15,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Albion,Kennebec,2024,2204,49.24,59.93,53.03,42.16,41.34,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; poverty; disability,38.19,46.15,18.39,5.12,26.81,22.01,12.52,3.63,15.36,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Poland,Androscoggin,2024,5954,49.2,69.0,42.39,45.53,43.18,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; poverty; children/family demand,46.53,61.56,16.64,1.09,17.75,14.48,21.38,15.33,14.39,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Farmington,Franklin,2024,8157,49.16,56.46,52.17,43.06,42.28,monitor and screen after hazard-layer ingestion,renter cost burden; zero-car households; poverty; disability,28.01,44.21,15.42,18.36,20.74,19.73,10.59,3.78,19.14,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bath,Sagadahoc,2024,8815,49.14,57.58,42.05,46.76,36.97,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; older adults; poverty,38.23,51.26,12.37,7.29,25.23,12.62,15.5,2.65,15.41,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Winn,Penobscot,2024,287,48.97,69.19,65.65,24.17,58.34,equity and recovery-capacity priority,renter cost burden; long commutes; disability; housing cost burden,45.27,100.0,21.95,5.56,30.31,31.36,12.2,4.95,49.57,1.23,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Old Orchard Beach,York,2024,9244,48.93,65.53,48.88,48.77,42.06,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; seasonal housing pressure; older adults,35.59,50.71,14.92,3.57,33.51,18.76,6.49,22.54,5.96,0.13,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Dennysville,Washington,2024,218,48.83,66.8,59.5,34.64,49.21,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; housing cost burden; older adults,32.63,75.0,30.28,7.08,31.19,17.43,12.39,9.72,17.33,2.65,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Wales,Androscoggin,2024,1924,48.57,62.4,45.53,44.64,39.75,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; children/family demand; housing cost burden,30.68,83.33,25.28,1.81,10.97,14.86,30.2,6.96,13.87,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Kittery,York,2024,10473,48.56,49.83,42.22,54.46,31.49,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; older adults; disability,36.06,38.83,6.36,12.07,26.9,17.74,14.73,4.41,7.77,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Newport,Penobscot,2024,3143,48.56,56.84,52.72,45.74,38.23,monitor and screen after hazard-layer ingestion,renter cost burden; disability; housing cost burden; zero-car households,33.74,44.33,12.57,13.91,24.85,24.63,14.7,6.71,8.56,1.14,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
St. John,Aroostook,2024,180,48.43,67.97,57.99,38.46,47.89,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; older adults; disability,43.53,75.0,11.67,12.9,38.89,23.33,8.89,16.31,12.9,1.08,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Boothbay Harbor,Lincoln,2024,2096,48.38,73.17,59.66,44.29,50.51,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; older adults; housing cost burden,39.0,79.34,16.14,4.27,47.04,23.3,11.55,44.45,4.79,1.21,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bucksport,Hancock,2024,5016,48.26,53.02,42.95,49.17,30.47,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; children/family demand,39.23,48.95,6.71,9.77,26.57,19.48,17.86,0.59,5.5,0.72,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Pittsfield,Somerset,2024,3930,48.17,57.28,41.37,46.22,33.07,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; poverty,34.24,50.53,15.54,8.26,15.22,12.92,22.49,1.59,8.81,0.61,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Fort Fairfield,Aroostook,2024,3309,48.15,61.13,47.91,47.67,36.94,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; older adults,38.89,73.58,10.28,8.42,30.86,20.76,13.48,13.26,4.35,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Howland,Penobscot,2024,1367,48.05,59.43,62.53,34.95,47.04,equity and recovery-capacity priority,poverty; disability; housing cost burden; children/family demand,37.44,29.0,25.21,6.47,22.82,27.87,22.02,5.96,18.36,1.04,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Winslow,Kennebec,2024,8023,48.04,54.58,41.03,47.58,33.56,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; children/family demand,36.46,56.71,10.81,5.75,21.76,17.96,17.31,2.61,11.11,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Farmingdale,Kennebec,2024,3017,48.02,58.69,41.11,46.89,36.28,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; poverty,39.81,58.63,13.77,4.31,22.77,12.8,21.31,4.1,13.37,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Wilton,Franklin,2024,3862,47.96,61.41,52.23,40.06,44.47,monitor and screen after hazard-layer ingestion,renter cost burden; disability; housing cost burden; children/family demand,38.57,52.48,14.55,5.5,26.95,25.92,22.24,9.21,16.92,1.12,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Crawford,Washington,2024,97,47.89,69.61,73.08,39.48,59.15,equity and recovery-capacity priority,renter cost burden; poverty; older adults; disability,22.0,100.0,27.84,3.51,50.52,46.39,14.43,46.76,11.11,5.26,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bowdoinham,Sagadahoc,2024,3142,47.82,58.17,34.95,49.48,32.55,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; poverty; children/family demand,43.27,100.0,13.46,0.0,21.39,7.13,17.5,2.7,11.13,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Norway,Oxford,2024,5228,47.76,65.95,57.33,38.02,50.95,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; disability; housing cost burden,29.55,48.74,20.94,7.72,27.1,25.02,17.5,18.89,19.36,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Eliot,York,2024,7146,47.75,54.05,35.72,51.86,30.54,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; older adults; children/family demand,45.7,55.07,4.8,1.81,27.76,15.74,16.26,3.44,8.04,0.49,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Mattawamkeag,Penobscot,2024,698,47.7,63.43,67.94,27.0,56.41,equity and recovery-capacity priority,poverty; disability; long commutes; renter cost burden,28.21,42.67,33.24,15.15,20.06,35.53,17.48,7.4,30.22,0.61,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Unity,Waldo,2024,1858,47.54,63.88,45.37,45.87,38.69,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; poverty; disability,34.93,44.76,17.3,11.15,11.84,16.09,13.99,14.62,7.06,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Brighton,Somerset,2024,98,47.52,85.01,63.16,25.82,69.46,resilience-first housing and infrastructure planning,housing cost burden; renter cost burden; poverty; seasonal housing pressure,71.43,100.0,37.76,0.0,24.49,30.61,9.18,62.35,35.29,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Benton,Kennebec,2024,2770,47.47,53.77,43.08,47.64,30.5,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; disability; children/family demand,37.28,65.67,9.96,6.26,20.97,22.31,19.89,1.62,4.79,0.44,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Limestone,Aroostook,2024,1579,47.42,49.99,54.85,45.98,35.07,monitor and screen after hazard-layer ingestion,disability; poverty; renter cost burden; children/family demand,29.83,32.03,16.37,12.37,21.72,27.13,20.71,2.49,7.56,0.43,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Yarmouth,Cumberland,2024,9053,47.4,52.33,33.76,52.58,30.44,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; poverty,35.26,50.96,10.23,2.25,20.24,11.53,24.74,3.19,10.05,0.37,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Livermore Falls,Androscoggin,2024,3102,47.38,62.84,55.54,28.94,51.7,monitor and screen after hazard-layer ingestion,poverty; long commutes; renter cost burden; children/family demand,32.19,47.67,28.96,7.67,18.21,20.36,21.92,2.59,32.3,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Norridgewock,Somerset,2024,3288,47.38,54.35,47.3,47.67,35.58,monitor and screen after hazard-layer ingestion,renter cost burden; poverty; disability; older adults,23.46,53.41,20.87,1.15,24.97,18.43,10.52,6.39,9.14,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Lincoln,Penobscot,2024,4890,47.32,63.94,56.54,35.39,49.62,monitor and screen after hazard-layer ingestion,renter cost burden; disability; housing cost burden; poverty,34.23,61.32,16.51,8.86,32.09,24.61,11.39,13.99,20.27,0.89,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Thomaston,Knox,2024,2769,47.21,52.89,42.63,48.5,28.9,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; older adults; disability,42.61,60.54,6.61,2.18,35.5,19.99,19.18,2.13,2.59,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Hallowell,Kennebec,2024,2592,47.11,51.91,43.94,49.69,31.34,monitor and screen after hazard-layer ingestion,housing cost burden; renter cost burden; older adults; disability,42.2,37.05,7.81,9.54,33.18,14.03,13.23,3.37,5.31,0.93,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
